code,code_20km,massif_ha,part_loin_voie,part_loin_piste,part_loin_eau,part_resineux,pistes_km,densite_pistes_m_ha,points_eau,brule_2022_ha,dnbr_moyen,obligations_old,obligations_prioritaires,constructions,indice_vigilance
DE42C7,DE42,342.3,0.016,0.025,1.0,0.264,8.2,23.9,0,0.0,,2,1,2,32.0
DE42C8,DE42,369.7,0.0,0.0,1.0,0.45,12.4,33.5,0,0.0,,1,1,1,36.0
DE42C9,DE42,363.7,0.0,0.0,1.0,0.528,12.8,35.2,0,0.0,,0,0,0,38.0
DE44C0,DE44,298.6,0.0,0.224,1.0,0.771,8.9,29.7,0,0.0,,1,1,1,44.0
DE44C1,DE44,189.1,0.029,1.0,1.0,0.301,0.0,0.0,0,0.0,,2,1,10,34.0
DE44C2,DE44,378.4,0.01,1.0,1.0,0.514,0.0,0.0,0,0.0,,0,0,0,38.0
DE44C3,DE44,348.3,0.0,1.0,1.0,0.443,0.0,0.0,0,0.0,,0,0,272,54.0
DE44C4,DE44,378.8,0.0,1.0,1.0,0.587,0.0,0.0,0,0.0,,0,0,8,40.0
DE44C5,DE44,359.8,0.0,1.0,1.0,0.613,0.0,0.0,0,0.0,,0,0,439,60.0
DE44C6,DE44,361.6,0.0,1.0,0.854,0.567,0.0,0.0,0,0.0,,0,0,299,55.0
DE44C7,DE44,208.7,0.0,1.0,0.216,0.402,0.0,0.0,16,0.0,,0,0,1677,35.0
DE44C8,DE44,345.2,0.0,1.0,0.285,0.573,0.0,0.0,2,0.0,,0,0,352,41.0
DE44C9,DE44,361.6,0.0,1.0,1.0,0.282,0.0,0.0,0,0.0,,0,0,200,45.0
DE46C0,DE46,359.1,0.0,1.0,1.0,0.33,0.0,0.0,0,0.0,,0,0,199,47.0
DE46C1,DE46,379.9,0.0,1.0,1.0,0.31,0.0,0.0,0,0.0,,0,0,2,33.0
DE46C2,DE46,296.8,0.0,1.0,1.0,0.195,0.0,0.0,0,0.0,,0,0,29,32.0
DE42D7,DE42,328.2,0.001,0.029,1.0,0.416,5.6,17.2,0,0.0,,1,1,1,36.0
DE42D8,DE42,321.3,0.0,0.0,0.925,0.348,7.7,24.1,0,0.0,,180,39,276,50.0
DE42D9,DE42,306.5,0.0,0.0,0.441,0.29,11.8,38.5,3,0.0,,223,42,333,38.0
DE44D0,DE44,371.5,0.0,0.519,0.923,0.644,5.2,13.9,0,0.0,,70,43,116,47.0
DE44D1,DE44,388.9,0.0,1.0,1.0,0.411,0.0,0.0,0,0.0,,7,7,18,36.0
DE44D2,DE44,339.5,0.0,1.0,1.0,0.434,0.0,0.0,0,0.0,,28,28,64,40.0
DE44D3,DE44,291.5,0.0,1.0,1.0,0.454,0.0,0.0,0,0.0,,4,4,5,37.0
DE44D4,DE44,358.8,0.0,1.0,0.361,0.686,0.0,0.0,2,0.0,,0,0,4,26.0
DE44D5,DE44,376.2,0.0,1.0,0.804,0.459,0.0,0.0,0,0.0,,0,0,4,32.0
DE44D6,DE44,316.9,0.0,1.0,0.657,0.521,0.0,0.0,0,0.0,,0,0,109,37.0
DE44D7,DE44,256.8,0.0,1.0,0.08,0.427,0.0,0.0,17,0.0,,0,0,1039,33.0
DE44D8,DE44,295.2,0.0,1.0,0.03,0.438,0.0,0.0,3,0.0,,0,0,562,32.0
DE44D9,DE44,360.5,0.0,1.0,0.917,0.489,0.0,0.0,0,0.0,,0,0,75,40.0
DE46D0,DE46,382.1,0.0,1.0,1.0,0.449,0.0,0.0,0,0.0,,0,0,3,36.0
DE46D1,DE46,367.0,0.0,1.0,1.0,0.263,0.0,0.0,0,0.0,,0,0,0,32.0
DE46D2,DE46,252.9,0.0,1.0,1.0,0.13,0.0,0.0,0,0.0,,0,0,174,40.0
DE42E7,DE42,321.6,0.0,0.0,1.0,0.431,11.2,34.7,0,0.0,,184,48,274,54.0
DE42E8,DE42,361.9,0.0,0.0,0.556,0.491,10.5,29.1,1,0.0,,120,49,184,38.0
DE42E9,DE42,335.4,0.0,0.004,0.495,0.799,13.9,41.5,3,0.0,,105,19,154,43.0
