code_insee,commune,obligations,constructions,surface_nette_ha,dont_chez_voisins_non_batis_ha,en_lisiere,priorite_forte_ou_plus
33042,Belin-Béliet,2861,4727,939.5,374.9,487,537
33225,Landiras,1476,2308,425.2,240.5,542,185
33484,Saint-Symphorien,1132,2086,463.1,199.0,218,344
33077,Cabanac-et-Villagrains,1111,1771,372.3,171.5,222,236
40295,Saugnac-et-Muret,988,1504,397.7,188.7,231,284
33202,Hostens,925,1479,283.9,133.7,197,181
33436,Saint-Magne,721,1157,311.1,150.8,179,209
33076,Budos,565,922,212.5,133.9,285,136
33251,Louchats,456,871,236.7,126.2,173,210
33026,Balizac,375,650,165.8,89.4,149,120
40200,Moustey,317,595,215.1,116.7,151,192
33197,Guillos,294,504,117.7,65.9,94,82
40171,Mano,182,283,107.1,58.0,76,91
33536,Le Tuzan,174,304,66.8,28.7,32,23
33310,Origne,141,245,90.0,47.5,61,67
